Year,Cities,Jan,Feb,Mar,April,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2018,Ha Noi,18.1,17.5,22.7,24.4,29.5,30.6,30.1,29.1,29,26.1,24.2,19.9
2017,Ha Noi,19.7,20.1,21.9,25.1,28.1,30.8,29.4,29.5,29.3,26,22.7,18.1
2016,Ha Noi,17.1,16.9,20.2,25.6,28.8,31.5,30.7,29.6,29.4,28.1,23.3,21.4
2015,Ha Noi,18.1,19.2,21.6,25.4,30.6,30.9,30.4,29,28.5,27.2,24.6,18.5
2014,Ha Noi,17.7,17.2,19.9,25.3,29.3,30.1,29.5,28.9,29.2,27,22.9,17.6
2013,Ha Noi,15.3,19.9,24,25,28.9,30,28.8,29.1,27,25.6,22.8,16.3
2012,Ha Noi,14.6,16.1,20.2,26.2,28.9,30.3,29.6,29.3,27.9,26.8,23.4,18.7
2011,Ha Noi,12.8,17.7,17.1,23.8,27.2,29.5,29.9,28.9,27.5,24.5,23.9,17.4
2010,Ha Noi,18.1,20.9,21.9,23.5,28.7,30.9,30.7,28.6,28.7,25.7,22.1,19.4
2009,Ha Noi,16,22.5,21,24.7,27.1,30.3,29.6,29.9,29.1,26.8,21.9,19.9
2008,Ha Noi,15.2,13.8,21.4,24.7,27.6,28.6,29.4,29,28.3,26.5,21.4,18.4
2007,Ha Noi,16.9,21.9,21.1,23.4,27.3,30.2,30.4,29.2,27.2,25.8,21.4,20.4
2006,Ha Noi,18.3,18.4,20.3,25.4,27.3,30.2,30,28.1,28.2,27.4,24.7,18.3
2005,Ha Noi,16.2,17.8,19.2,24.2,29.2,30.3,29.6,28.8,28.7,26.3,22.7,17.4
2004,Ha Noi,17.2,18.1,20.7,24.2,26.6,29.8,29.2,29.1,28.3,26.1,23.1,19.3
2003,Ha Noi,16.9,20.8,21.9,26.2,29,30,29.8,29.1,27.8,26.6,23.9,18.5
2002,Ha Noi,17.7,19.5,22.5,25.9,27.7,29.6,29.4,28.4,27.6,25.2,21.2,18.9
